samplingperiod,block.30d,start_date,end_date
1,2015-07-01_2015-07-30,2015-07-01,2015-07-30
2,2015-07-31_2015-08-29,2015-07-31,2015-08-29
3,2015-08-30_2015-09-28,2015-08-30,2015-09-28
4,2015-09-29_2015-10-28,2015-09-29,2015-10-28
5,2015-10-29_2015-11-27,2015-10-29,2015-11-27
6,2015-11-28_2015-12-27,2015-11-28,2015-12-27
7,2015-12-28_2016-01-26,2015-12-28,2016-01-26
8,2016-01-27_2016-02-25,2016-01-27,2016-02-25
9,2016-02-26_2016-03-26,2016-02-26,2016-03-26
10,2016-03-27_2016-04-25,2016-03-27,2016-04-25
11,2016-04-26_2016-05-25,2016-04-26,2016-05-25
12,2016-05-26_2016-06-24,2016-05-26,2016-06-24
13,2016-06-25_2016-07-24,2016-06-25,2016-07-24
14,2016-07-25_2016-08-23,2016-07-25,2016-08-23
15,2016-08-24_2016-09-22,2016-08-24,2016-09-22
16,2016-09-23_2016-10-22,2016-09-23,2016-10-22
17,2016-10-23_2016-11-21,2016-10-23,2016-11-21
18,2016-11-22_2016-12-21,2016-11-22,2016-12-21
19,2016-12-22_2017-01-20,2016-12-22,2017-01-20
20,2017-01-21_2017-02-19,2017-01-21,2017-02-19
21,2017-02-20_2017-03-21,2017-02-20,2017-03-21
22,2017-03-22_2017-04-20,2017-03-22,2017-04-20
23,2017-04-21_2017-05-20,2017-04-21,2017-05-20
24,2017-05-21_2017-06-19,2017-05-21,2017-06-19
25,2017-06-20_2017-07-19,2017-06-20,2017-07-19
26,2017-07-20_2017-08-18,2017-07-20,2017-08-18
27,2017-08-19_2017-09-17,2017-08-19,2017-09-17
28,2017-09-18_2017-10-17,2017-09-18,2017-10-17
29,2017-10-18_2017-11-16,2017-10-18,2017-11-16
30,2017-11-17_2017-12-16,2017-11-17,2017-12-16
31,2017-12-17_2018-01-15,2017-12-17,2018-01-15
32,2018-01-16_2018-02-14,2018-01-16,2018-02-14
33,2018-02-15_2018-03-16,2018-02-15,2018-03-16
34,2018-03-17_2018-04-15,2018-03-17,2018-04-15
35,2018-04-16_2018-05-15,2018-04-16,2018-05-15
36,2018-05-16_2018-06-14,2018-05-16,2018-06-14
37,2018-06-15_2018-07-14,2018-06-15,2018-07-14
38,2018-07-15_2018-08-13,2018-07-15,2018-08-13
39,2018-08-14_2018-09-12,2018-08-14,2018-09-12
40,2018-09-13_2018-10-12,2018-09-13,2018-10-12
41,2018-10-13_2018-11-11,2018-10-13,2018-11-11
42,2018-11-12_2018-12-11,2018-11-12,2018-12-11
43,2018-12-12_2019-01-10,2018-12-12,2019-01-10
44,2019-01-11_2019-02-09,2019-01-11,2019-02-09
45,2019-02-10_2019-03-11,2019-02-10,2019-03-11
46,2019-03-12_2019-04-10,2019-03-12,2019-04-10
47,2019-04-11_2019-05-10,2019-04-11,2019-05-10
48,2019-05-11_2019-06-09,2019-05-11,2019-06-09
49,2019-06-10_2019-07-09,2019-06-10,2019-07-09
50,2019-07-10_2019-08-08,2019-07-10,2019-08-08
51,2019-08-09_2019-09-07,2019-08-09,2019-09-07
52,2019-09-08_2019-10-07,2019-09-08,2019-10-07
53,2019-10-08_2019-11-06,2019-10-08,2019-11-06
54,2019-11-07_2019-12-06,2019-11-07,2019-12-06
55,2019-12-07_2020-01-05,2019-12-07,2020-01-05
56,2020-01-06_2020-02-04,2020-01-06,2020-02-04
57,2020-02-05_2020-03-05,2020-02-05,2020-03-05
58,2020-03-06_2020-04-04,2020-03-06,2020-04-04
59,2020-04-05_2020-05-04,2020-04-05,2020-05-04
60,2020-05-05_2020-06-03,2020-05-05,2020-06-03
61,2020-06-04_2020-07-03,2020-06-04,2020-07-03
62,2020-07-04_2020-08-02,2020-07-04,2020-08-02
63,2020-08-03_2020-09-01,2020-08-03,2020-09-01
64,2020-09-02_2020-09-29,2020-09-02,2020-09-29
