ref,realm,biome,habitat,island,tropical,PET,taxon,growth,thermo,trophic,EH,EHcat,unit,EA,grain,extent,n,ES,var,
1,Neo,12,mix,1,1,1556.33,pla,her,pla,aut,top,ele,isl,0,4,4,31,1.10,0.04,
1,Neo,12,mix,1,1,1556.33,pla,her,pla,aut,top,ele,isl,0,4,4,16,-0.08,0.08,
1,Neo,12,mix,1,1,1556.33,pla,her,pla,aut,top,ele,isl,0,4,4,21,0.60,0.06,
1,Neo,12,mix,1,1,1556.33,pla,her,pla,aut,top,ele,isl,0,4,4,10,1.42,0.14,
1,Neo,12,mix,1,1,1556.33,pla,her,pla,aut,top,ele,isl,0,4,4,9,1.12,0.17,
2,Pal,12,mix,0,0,706.53,pla,shr,pla,aut,top,ele,gri,0,4,4,168,0.67,0.01,
2,Pal,12,mix,0,0,622.11,pla,shr,pla,aut,top,ele,gri,0,4,4,108,0.24,0.01,
3,mix,12,mix,1,1,1614.33,bir,ani,end,mix,top,ele,isl,0,4,4,14,1.50,0.09,
4,Afr,12,mix,0,1,1817.80,pla,her,pla,aut,top,ele,pol,0,4,4,29,0.56,0.04,
5,Afr,9,gra,0,1,1587.66,pla,mix,pla,aut,top,ele,plo,1,1,3,102,0.45,0.01,
5,Afr,9,gra,0,1,1587.66,pla,mix,pla,aut,top,ele,plo,1,1,3,102,0.31,0.01,
5,Afr,9,gra,0,1,1587.66,pla,mix,pla,aut,top,ele,plo,1,1,3,102,0.32,0.01,
5,Afr,9,gra,0,1,1587.66,pla,mix,pla,aut,top,ele,plo,1,1,3,102,0.16,0.01,
6,Afr,12,mix,0,0,1664.09,mam,ani,end,mix,veg,pla,gri,1,4,4,111,1.31,0.01,
6,Afr,12,mix,0,0,1664.09,pla,shr,pla,aut,top,ele,gri,1,4,4,65,0.66,0.02,
7,Pal,3,mix,0,0,1074.51,bir,ani,end,mix,lan,lcd,gri,1,3,2,106,1.33,0.01,
7,Pal,3,mix,0,0,1074.51,her,ani,ect,mix,lan,lcd,gri,1,3,2,106,0.73,0.01,
7,Pal,3,mix,0,0,1074.51,her,ani,ect,mix,lan,lcd,gri,1,3,2,106,0.74,0.01,
7,Pal,3,mix,0,0,1074.51,inv,ani,ect,her,lan,lcd,gri,1,3,2,106,1.07,0.01,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,2.09,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,car,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,car,veg,vec,plo,1,2,1,5,2.09,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,ins,veg,vec,plo,1,2,1,5,1.33,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,ins,veg,vec,plo,1,2,1,5,1.83,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,fru,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,fru,veg,vec,plo,1,2,1,5,2.09,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.42,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,2.09,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.42,0.50,
9,Pal,5,mix,0,0,908.56,inv,ani,ect,mix,lan,lcd,pol,0,3,2,16,1.44,0.08,
10,Pal,5,for,0,0,965.68,bir,ani,end,mix,lan,lcd,plo,0,2,1,27,0.53,0.04,
10,Pal,5,for,0,0,965.68,inv,ani,ect,car,lan,lcd,plo,0,2,1,27,-0.04,0.04,
10,Pal,5,for,0,0,965.68,inv,ani,ect,car,lan,lcd,plo,0,2,1,27,0.13,0.04,
10,Pal,5,for,0,0,965.68,bir,ani,end,mix,lan,lcp,plo,0,2,1,27,-0.63,0.04,
10,Pal,5,for,0,0,965.68,inv,ani,ect,car,lan,lcp,plo,0,2,1,27,-0.08,0.04,
10,Pal,5,for,0,0,965.68,inv,ani,ect,car,lan,lcp,plo,0,2,1,27,0.25,0.04,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,car,lan,lcp,pol,1,2,2,42,0.23,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,her,lan,lcp,pol,1,2,2,42,0.35,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,her,lan,lcp,pol,1,2,2,42,0.43,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,car,lan,lcp,pol,1,2,2,42,0.09,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,her,lan,lcp,pol,1,2,2,42,0.32,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,her,lan,lcp,pol,1,2,2,42,0.38,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,car,lan,lcp,pol,1,2,2,42,0.33,0.03,
