"","location","radius","N.tls","G.tls","V.tls","d.tls","dg.tls","dgeom.tls","dharm.tls","h.tls","hg.tls","hgeom.tls","hharm.tls","d.0.tls","dg.0.tls","dgeom.0.tls","dharm.0.tls","h.0.tls","hg.0.tls","hgeom.0.tls","hharm.0.tls","n.pts","n.pts.est","n.pts.red","n.pts.red.est","P01","P05","P10","P20","P25","P30","P40","P50","P60","P70","P75","P80","P90","P95","P99","mean.z","mean.q.z","mean.g.z","mean.h.z","median.z","mode.z","max.z","min.z","var.z","sd.z","CV.z","D.z","ID.z","kurtosis.z","skewness.z","p.a.mean.z","p.a.mode.z","p.a.2m.z","p.b.mean.z","p.b.mode.z","p.b.2m.z","CRR.z","L2.z","L3.z","L4.z","L.CV.z","L.skewness.z","L.kurtosis.z","median.a.d.z","mode.a.d.z","weibull_c.z","weibull_b.z","mean.rho","mean.q.rho","mean.g.rho","mean.h.rho","median.rho","mode.rho","max.rho","min.rho","var.rho","sd.rho","CV.rho","D.rho","ID.rho","kurtosis.rho","skewness.rho","p.a.mean.rho","p.a.mode.rho","p.b.mean.rho","p.b.mode.rho","CRR.rho","L2.rho","L3.rho","L4.rho","L.skewness.rho","L.kurtosis.rho","L.CV.rho","median.a.d.rho","mode.a.d.rho","weibull_c.rho","weibull_b.rho","mean.r","mean.q.r","mean.g.r","mean.h.r","median.r","mode.r","max.r","min.r","var.r","sd.r","CV.r","D.r","ID.r","kurtosis.r","skewness.r","p.a.mean.r","p.a.mode.r","p.b.mean.r","p.b.mode.r","CRR.r","L2.r","L3.r","L4.r","L.CV.r","L.skewness.r","L.kurtosis.r","median.a.d.r","mode.a.d.r","weibull_c.r","weibull_b.r","locationID","latitude","longitude","habitat","altitude","on.off.trail"
"1","BC 12.40",25,213.904243515507,9.54659228250851,113.469785254516,21.1418624669286,23.8379852467759,18.6066180041503,16.3433267418077,30.3022142857143,31.870456204618,28.667114400657,27.0271137782925,30.216689878406,31.7041381320819,29.0384520418107,28.1334571040791,35.3067516704421,36.208562212947,34.4155617862577,33.5593287623869,37494.83333406,168298.959038,18737.33333333,84467.1733258,0.22,0.511,0.676,1.029,1.241,1.48,1.73,2.203,2.664,3.206,3.59,4.068,5.832,8.366,16.382,3.04903916949127,4.60032202073135,2.11349414462561,1.45433499726538,2.21,1.68,49.998,0.101,11.8663232821101,3.44475300741723,1.12978312705376,49.897,2.346,44.1312268712829,5.05419347118845,32.907818830397,62.9681989526716,53.9142728953635,67.092181169603,36.9307751962101,46.0703856284139,0.0609832227187341,-3.04903781063955,3.04903509579217,-3.04903102210031,-0.99999955433445,-0.999999109605211,0.999997773547048,1.44103916949126,1.36903916949127,0.887122301476578,2.87468795392728,8.14346546543478,9.06261387380514,7.00890093182256,5.4765625192182,7.4894312974284,13.4988380959288,24.9999676707391,0.100001250492182,15.8149410317356,3.97680035100276,0.488342508221152,24.8999664202469,5.83709233288433,2.90428112084002,0.430877160142211,46.6350329150192,9.40523949082641,53.3649670849808,90.5946668036017,0.325739039853488,-8.14345991976865,8.14344882614079,-8.1434321868651,-0.999998637725492,0.999996594456923,-0.999999319004157,2.8803711023123,5.35537263049406,2.15729477824719,9.19537229623922,9.12183730415041,10.1633622842104,8.08039215696059,6.94614357133366,8.69394652195995,13.6025205918793,54.4027602954574,0.325161087616585,20.0860178695898,4.48174272684073,0.491320177877054,54.0775992078409,5.345126067367,11.1705070087272,1.651385223907,48.0562878125409,12.3610505669,51.9437121874591,87.6389156990942,0.167672324981497,-9.12183024563459,9.12181612547928,-9.12179494683762,-0.999999226195821,-0.999998452048007,0.999996130294467,2.70643254685333,4.48068328772887,2.14273513196896,10.3000130158034,194,-1.21856,110.1099,"Lowland Sandstone",99,"ON"
"2","BD 7.45",25,50.9295817894065,1.85456858673195,10.2052145417261,20.3749958750156,21.5323511647704,19.1681099500078,17.976182701241,31.0297,32.6864300513225,28.3446693546422,24.6284292008496,20.3749958750156,21.5323511647704,19.1681099500078,17.976182701241,31.0297,32.6864300513225,28.3446693546422,24.6284292008496,548.5,926.324715213396,548.5,926.324715213396,0.21,0.481,0.708,1.174,1.45,1.645,2.091,2.538,3.035,3.564,3.978,4.558,7.286,9.647,31.978,3.67673593418288,5.97387122032113,2.39601015306367,1.54389427277251,2.544,1.566,43.54,0.101,22.1687519525907,4.70837041369842,1.28058432750755,43.439,2.524,28.7513335878193,4.56588954294759,28.3757377389066,72.5546962275367,61.9246484839589,71.6242622610934,27.3725280094463,38.0574202404565,0.0844450145655232,-3.67673094916567,3.67672098661941,-3.67670603912909,-0.999998644173176,-0.999997290379307,0.999993224949846,1.83373593418288,2.11073593418288,0.788430569596619,3.2109225366842,9.01473177996802,9.79991210331385,7.96048614030155,6.45742044946454,8.84597817352321,8.82140525904167,24.9999656588893,0.100085087051163,14.7728893176373,3.84355165408731,0.426363395817079,24.8998805718381,4.86439768068455,2.90102447118542,0.127347398612651,47.8780312144283,50.5392691043966,52.1219687855717,49.4606452862148,0.360589766520844,-9.01471823265337,9.0146911434554,-9.01465050703757,-0.999996995003363,0.999992487217675,-0.999998497202692,2.42572854164365,0.19332652092635,2.51008948021392,10.1591319036225,10.3140109208061,11.4771692759869,9.2175876871462,7.96552221445203,9.67775698868533,9.06057265316312,48.3368662836705,0.492779323683607,25.3465952877929,5.03454022605768,0.48812632299057,47.8440869599869,4.61829422088715,12.6095117818222,2.17382888485245,41.7604854768342,59.642808056435,58.2395145231658,40.3571218995198,0.213377732438779,-10.3139920188463,10.3139542265609,-10.3138975325101,-0.999998167351192,-0.999996335823669,0.999990839014033,2.35274945944708,1.25343826764299,2.15837210473751,11.6462958903003,162,-1.20966,110.09449,"Peat Swamp",44,"ON"
"3","BD 7.45 W 50",25,50.9295817894065,1.61626217228029,12.6128137403791,17.9905140045544,20.1013816209253,15.9922815380306,14.363557442976,18.8593,20.3375867816219,17.3743150985332,16.0793051378464,17.9905140045544,20.1013816209253,15.9922815380306,14.363557442976,18.8593,20.3375867816219,17.3743150985332,16.0793051378464,4472.66666666667,2455.36696573312,4472.66666666667,2455.36696573312,0.105,0.332,0.537,0.814,0.961,1.148,1.548,1.985,2.44,2.938,3.261,3.682,5.21,6.684,11.703,2.5918509971737,3.59304302190032,1.80210321942182,1.16043408810733,2.006,2.935,40.498,0.101,6.19226719587342,2.48842665069184,0.960096337870256,40.397,2.298,25.7892957304364,3.52738501138377,37.154939470814,30.4025139221046,50.1336515935758,62.845060529186,69.5398629807832,49.8390125465084,0.0639994813860857,-2.5918488950662,2.5918446966349,-2.5918383961122,-0.999999188955113,-0.999998380140404,0.999995949241477,1.3438509971737,0.3431490028263,1.04179997755578,2.63481264044331,4.67141163763551,5.14131485019631,4.15362294086855,3.52215186494537,4.41778190710282,3.96297654050904,24.9996661828738,0.100062955807832,4.61103216988481,2.14733140662656,0.459675056106479,24.899603227066,2.99021545542889,6.61823533838041,1.01132256350784,46.0328858740061,57.5925452687845,53.9671141259939,42.4073427824221,0.186858960574269,-4.67140720544886,4.67139834929454,-4.67138506097343,-0.999998104178477,0.999995259570733,-0.999999051210428,1.51174885690637,0.708435097126472,2.30786207517794,5.27277007722968,5.68169187668084,6.27240596151713,5.15647389832197,4.62324735293549,5.38285277010481,4.71379629646053,45.4605764194849,0.326732540658258,7.06145468319033,2.65733977563847,0.46770219739386,45.1338438788266,2.89407702791164,17.7334442054024,2.45452629223346,44.5824162437292,62.7964543985241,55.4175837562708,37.2034845384977,0.124980638702276,-5.68168502680525,5.68167132204987,-5.68165076746424,-0.999998794395096,-0.999997587906524,0.999993970214672,1.47491823066922,0.967895580220315,2.26371094320357,6.41438396408078,328,-1.20976,110.09406,"Peat Swamp",43,"OFF"
"4","BK 4.35",25,162.974661726101,3.85528298158477,41.3525216185907,16.0092569258463,17.3549411677571,14.6801945106148,13.4017174923319,23.3444375,25.1089027202007,21.828711356057,20.5315826205256,20.0969741762257,20.8320849270086,19.4817014522807,18.9705628640353,24.0596630950232,25.3167777803378,23.0588501636143,22.2885310611722,21928.8333333333,7602.81062725739,21928.8333333333,7602.81062725739,0.22,0.502,0.669,0.997,1.205,1.434,1.871,2.337,2.847,3.539,4.021,4.506,6.517,9.693,17.551,3.30796375643473,4.90063134573873,2.22409075865514,1.46891960724635,2.344,2.516,49.999,0.101,13.07356382481,3.6157383512652,1.09304049786875,49.898,2.814,32.0480640097015,4.07729322990737,33.3541792964816,46.0659402492529,57.0396497269886,66.6458207035184,53.8781959336201,42.9402451053923,0.0661605983406613,-3.30796232484971,3.30795946203429,-3.30795516764016,-0.999999567230743,-0.999999134568313,0.999997836369087,1.70696375643473,0.791963756434725,0.915962716345551,3.17364135824526,12.3526682837276,13.5284413099436,10.5830332257121,7.4955563636737,12.5350672747856,2.82335349968792,24.999999368336,0.100078386277958,30.4303116005339,5.51636760926372,0.446572957563388,24.899920982058,7.11478753810021,2.6538722580657,-0.0194860986870277,52.7734071225589,94.7804330439507,47.2265928774411,5.21953930582735,0.494106743833483,-12.3526564898946,12.3526328915868,-12.3525974994994,-0.999998089616769,0.999995224476996,-0.999999045240044,3.51223514754164,9.52931478403972,2.38357217080014,13.936201351595,13.2263363828601,14.3887077899103,11.7040303035424,9.5570306318416,13.1681265323489,22.1734532987737,54.2023357412298,0.62593015233331,32.0989388602844,5.66559254273411,0.428356906911584,53.5764055888965,6.80912053615482,4.27668726325475,0.347261957186833,49.384889706721,6.91993463487536,50.615110293279,93.0800411711805,0.244017830633806,-13.22632298596,13.2262961915047,-13.226256000215,-0.999998987104233,-0.999997974156892,0.999994935421958,3.40084068687109,8.94711691591361,2.49708659101681,14.9073066570347,175,-1.22942,110.10719,"Lowland Sandstone",71,"ON"
"5","BK 4.35 N 45",25,76.3943726841098,3.76914326932219,18.4878146349586,20.280848415913,25.0637296683281,17.001747379953,14.9748615081805,25.27,26.2528347218607,24.2793771027524,23.2505303039561,20.280848415913,25.0637296683281,17.001747379953,14.9748615081805,25.27,26.2528347218607,24.2793771027524,23.2505303039561,16160.6666666667,5403.35139512725,16160.6666666667,5403.35139512725,0.228,0.536,0.714,1.006,1.196,1.459,1.846,2.281,2.783,3.439,3.81,4.32,6.141,8.328,18.18,3.13656312609137,4.55294259345628,2.18523453705936,1.49459300428602,2.288,1.651,49.999,0.101,10.8912584433641,3.30019066772877,1.0521677820785,49.898,2.612,30.2069161711432,4.11723451944718,34.245882071193,65.5477135533895,55.9339902129067,65.754117928807,34.4078436020578,44.0400294488372,0.0627325171721709,-3.13656174213859,3.13655897787156,-3.13655482965803,-0.999999558767759,-0.999999118695164,0.999997796159892,1.54156312609137,1.48556312609137,0.950786377371492,3.06604718705334,9.91424309404315,11.0067925668385,8.26625500738624,5.6978301307799,10.0036722109746,12.5728734489028,24.9998135390871,0.100022513590692,22.8572673798877,4.78092746022021,0.482228185739441,24.8997910254965,7.3187556246953,2.18436020477125,-0.0687643320174427,50.5062255744146,33.5290432358258,49.4937744255854,66.4709096057929,0.396572681573895,-9.91423434860066,9.91421686568498,-9.91419063736303,-0.999998236584382,0.999995591062698,-0.999999117891058,3.71480902978869,2.65863035485966,2.18780115306609,11.1947919959607,10.8304251121164,11.9112874563885,9.52609226725841,7.95893342902783,10.6474249810775,12.690971455197,54.4025124136655,0.591168528107679,24.5806617255433,4.95788883755407,0.457774167332313,53.8113438855578,7.26981156839984,4.95395450244309,0.578230509965248,49.0115249582196,37.4702027802538,50.9884750417804,62.52975399123,0.199079502611279,-10.8304148123983,10.8303942119924,-10.8303633119167,-0.999999049001489,-0.999998097911651,0.999995244828342,3.63419037474239,1.86054634308057,2.31856696077999,12.223939806208,325,-1.22909,110.10727,"Lowland Sandstone",69,"OFF"
"6","BM 14.35",25,300.484532557498,7.29228773357186,36.6606123185309,15.3049031615424,17.5782605211085,13.1551206004552,10.6213581978798,17.8377288135593,18.6591965638068,16.9561095494017,15.983189622795,24.3976086934191,26.0113182502023,23.1140204639813,22.1396657703417,19.7035782085873,20.5393833265205,18.7609489047708,17.673024735206,17239,11485.77469348,8621.50000003,5740.584556737,0.21,0.503,0.663,1.083,1.336,1.569,1.993,2.305,2.696,3.29,3.602,3.978,5.89,8.829,14.976,3.04467418163509,4.17410753210822,2.178017215586,1.48786185584268,2.312,2.075,47.121,0.101,8.15313310621977,2.85536917161683,0.937824214111279,47.02,2.257,14.5255592316721,2.83065174656908,34.1784910104062,57.1974816046437,60.0110808204953,65.8215089895938,42.7209041904163,39.9638643627906,0.0646139551714753,-3.0446731622141,3.04467112434593,-3.04466806705951,-0.999999665178954,-0.99999933067753,0.9999983265348,1.33167418163509,0.969674181635089,1.06691923814417,3.122475766012,9.48373203405555,10.3178789848178,8.51970402252597,7.31308320029095,9.09392908062984,10.8756678434671,24.9999075414935,0.100114255353566,16.5174540369232,4.06416707787995,0.428540901755317,24.89979328614,5.51054732117741,2.79150467346477,0.442163813520553,47.1386601952709,36.0757714358575,52.8613398047291,63.9241860382867,0.37935068433013,-9.483725158323,9.48371141436081,-9.48369079468984,-0.999998550784427,0.999996376568006,-0.999999274997171,2.77863672917388,1.39193580941158,2.49584507865684,10.6891742372783,10.3270960571825,11.1302201431485,9.47454824902368,8.5638132244573,9.86142870655287,7.26778099305593,47.7568229545907,0.39176419798777,17.2328880713773,4.15125138619396,0.401976641178502,47.365058756603,5.7390338559015,3.20702085848692,0.607083769902618,46.6375567733464,73.2120562076994,53.3624432266536,26.7879118979087,0.21624336415766,-10.3270880110667,10.3270719121367,-10.3270477671209,-0.999999220873347,-0.999998441096853,0.999996103069354,2.98629420387144,3.05931506412654,2.68083663555695,11.6156256267366,9,-1.20752,110.10863,"Alluvial Bench",53,"ON"
"7","CK 4.42",25,249.554950768092,10.4607590174064,95.9083405213941,19.5060780177143,23.1022119020157,16.4970472946329,13.9758515054437,20.9058163265306,21.5467350550057,20.2288028971359,19.4353533592676,30.7816194894118,33.3395311822983,28.6526264340107,27.0239203130895,22.0134709276987,22.4259493364321,21.6266891346722,21.2514768331371,65953.16666358,220484.7826289,33100.9999998,111758.2568082,0.246,0.532,0.678,0.959,1.113,1.331,1.779,2.115,2.591,3.402,3.892,4.49,6.523,9.356,17.027,3.13666360867377,4.46922957920029,2.1349658479384,1.44922168498663,2.118,2.101,40.734,0.101,10.1353548816881,3.18360721221825,1.01496609436048,40.633,2.775,13.2714587479398,2.73404724205091,32.935046210107,50.6468284587435,53.972263201434,67.064953789893,49.2918148136189,45.9991395862487,0.0770035746225209,-3.13666213230552,3.13665918243437,-3.13665475620053,-0.999999529318911,-0.999999059550876,0.999997648422216,1.70366360867377,1.03566360867377,0.985284796438469,3.11669676747769,9.36267453102505,10.5462121932952,7.77072466912365,5.82729074900936,9.24530990343888,2.80598864675625,24.9999656300529,0.100119235539425,23.5629182844823,4.8541650450394,0.51845923180969,24.8998463945135,7.86240740717852,2.27585713270945,0.17963009173714,48.9975180844398,89.7129908061737,51.0024819155602,10.2869697614821,0.374507496113115,-9.36266561039178,9.36264775386878,-9.36262097675359,-0.999998092794965,0.999995232806549,-0.99999904721314,3.95624715054229,6.5566858842688,2.01828867805227,10.5662921339999,10.3408033776413,11.4541086365377,9.04463356882302,7.6062111606523,9.98381804812794,7.528459346269,42.5617917723764,0.51611724077481,24.2643912256817,4.92588989175375,0.476354661418705,42.0456745316016,7.66973421918385,3.03261106634523,0.473553899879581,47.2087793222745,67.6813295254541,52.7912206777254,32.3186354235733,0.242959775588037,-10.3407927854856,10.3407716068073,-10.3407398360266,-0.999998975693144,-0.999997951928961,0.999994879555169,3.68742405044895,2.81234403137235,2.21789927973132,11.6759095048712,193,-1.21281,110.10916,"Lowland Sandstone",54,"ON"
"8","DA 12.40",25,142.602829010338,6.89016088595077,127.716003824215,17.5435861254286,24.8030832003927,13.8296716724152,11.99137420251,22.4748214285714,24.0152093749238,21.0924826289252,19.8990392997012,21.9367313568773,29.5325360436285,17.8275869687439,15.8623520344807,24.0782092195868,25.492608381838,22.7640588715748,21.5811451744099,24612.83333306,89680.1155746,12360.50000093,45224.9164925,0.274,0.582,0.788,1.204,1.467,1.726,2.211,2.75,3.273,3.937,4.276,4.858,6.729,8.604,15.136,3.42483481996369,4.55332464719218,2.49953547110715,1.71430849284495,2.757,2.499,48.502,0.101,9.00327241454971,3.00054535285666,0.876113888870258,48.401,2.805,22.7493940200477,3.16520885021846,36.815458757696,54.7984383968374,64.8664939836497,63.184541242304,45.1104546326072,35.1137304887675,0.0706122390821758,-3.4248324538317,3.42482771640242,-3.42482061285486,-0.999999309125223,-0.999998616741301,0.999996542611355,1.61916518003631,0.925834819963693,1.14415154669215,3.59326408546682,18.0953355703342,18.7883734747231,17.2194667109099,16.0555416673848,19.3604613814354,21.8783941996631,24.999999365577,0.101014668489281,25.5618101711987,5.05586888390103,0.27940177534976,24.8989846970877,8.31528497323854,2.27312331978449,-0.578811125329415,59.023909782552,30.2957799188307,40.976090217448,69.7041448370311,0.723813441181524,-18.0952897390718,18.0951981168435,-18.0950606638762,-0.999994936680781,0.999987340617422,-0.999997467233355,4.17255235937861,3.78305862932885,4.01809427915547,19.9587813011378,18.6967932505518,19.3322462008015,17.930242277836,17.0085979503918,19.8107807229561,24.2183233260366,54.3253871529072,0.780833472547123,24.1656669675472,4.91585872127619,0.262925232974436,53.54455368036,7.67604082872359,2.56334222529044,-0.476224691454042,59.1697397626759,11.5772683080788,40.8302602373241,88.4226769689116,0.344163092624206,-18.6967446714712,18.6966475347325,-18.6965018194817,-0.999997401742642,-0.999994804617575,0.999987011001448,3.83979306786052,5.52153007548481,4.29696976360115,20.5428733170977,174,-1.22856,110.10848,"Lowland Sandstone",63,"ON"
"9","DA 12.40 E 46",25,66.2084563262285,1.97504190816832,19.3633053561192,18.4875313566923,19.488862244134,17.3864065783324,16.2728473695462,21.2695384615385,21.5331489640436,21.0087341491985,20.7547801336629,18.4875313566923,19.488862244134,17.3864065783324,16.2728473695462,21.2695384615385,21.5331489640436,21.0087341491985,20.7547801336629,3493.3333334,3067.6772173,1760.33333334,1541.58435524,-0.535,0.373,0.721,1.047,1.172,1.354,1.75,2.045,2.398,2.914,3.53,4.245,6.047,8.353,15.354,2.99562053469508,4.17684297064664,2.15932123297014,1.55713262365432,2.12,1.789,49.994,0.101,8.47227549558549,2.91071735068617,0.971657563758303,49.893,2.377,19.8913912793079,3.18662629999559,30.2991650048446,58.6982257761726,52.5647176791572,69.7008349951554,41.1709912681487,47.4167427943792,0.0599196010460271,-2.99561820790442,2.99561355501646,-2.99560657535361,-0.999999223269226,-0.999998446768699,0.999996116811288,1.50362053469508,1.20662053469508,1.02929155545057,3.03108387268721,19.6875518294234,19.9099912456478,19.4508621517258,19.1838090571692,19.7732660666593,22.212696736853,24.999999803304,0.125504638958084,8.80805507460252,2.96783676683919,0.150746867490335,24.8744951643459,5.07615560889297,2.539456653403,-0.200870570586492,50.9595150839133,22.5834536296094,49.0404849160867,77.4164578185925,0.787502079372878,-19.6874911821166,19.6873698701295,-19.6871879116517,-0.999993838118532,0.999984595779015,-0.999996919509982,2.5174210761823,2.52514490742957,7.86499542425373,20.9228133666663,20.1097300094519,20.3433961914724,19.8704516264358,19.6239815282495,20.2853081366169,22.2844600612086,54.8725177904067,0.602160607313366,9.45252831110908,3.07449643211845,0.152886012426492,54.2703571830933,5.04278513143896,3.44220498525211,0.132516825119691,51.2439515096794,26.8104495629888,48.7560484903206,73.18947798554,0.366480905546631,-20.1096666276197,20.1095398274958,-20.1093496464154,-0.999996848200742,-0.999993694568573,0.999984237371499,2.42032108170526,2.17473005175671,7.74715824749883,21.387364865575,314,-1.22851,110.10888,"Lowland Sandstone",80,"OFF"
"10","DP 8.00",25,101.859163578813,3.84277225862698,30.9980374014191,19.05364512605,21.9168093555694,16.9200597474113,15.4642057789261,14.6462,15.3097425288605,14.140770887686,13.7664267592283,19.5458839143012,22.3674527365035,17.4359821578491,15.992753565423,14.5291694742593,15.2217390543427,14.0111736481172,13.6362747778075,13472.33333297,9873.3926277,6683.6666671,4901.2297926,0.155,0.498,0.652,1.088,1.343,1.585,1.937,2.269,2.69,3.117,3.41,3.862,5.44,7.769,11.127,2.82706832684163,3.6323467948322,2.11426375602486,1.46582660945738,2.28,1.948,46.839,0.101,5.20162837631899,2.2807078673778,0.806739563286673,46.738,2.055,11.6944111955165,2.24528033773722,37.2522014937231,59.9784566190885,58.3173232656319,62.7477985062769,39.9614227319254,41.6532662184886,0.0603571452601812,-2.82706647959167,2.82706279000729,-2.82705725318143,-0.99999934658461,-0.999998694907102,0.999996736401385,1.16493167315837,0.879068326841627,1.24718768529453,3.03377832501099,7.98439300915518,8.49646704232827,7.32625404967998,6.38596571014134,8.48178259873624,8.68080287339973,24.9998027892227,0.100110066052324,8.43942122795847,2.90506819678273,0.363843337051631,24.8996927231703,3.66396260628431,3.58066413320288,0.0387629457093223,54.4003392535052,47.3911474881292,45.5996607464948,52.6087367925287,0.319378239759444,-7.98438158709821,7.9843587176761,-7.98432442627,-0.999997135730318,0.99999284091979,-0.99999856945206,1.83066797522451,0.696409864244551,2.99636170646318,8.94177177353615,8.75743244398567,9.24034065602011,8.20189620689712,7.54763417749533,9.08717490342433,9.56629961905987,53.0671670829443,0.298039014434351,8.69127320197799,2.94809653878193,0.336639369774024,52.7691280685099,3.64871666237612,4.95959726332603,0.370149977882014,54.9253757117741,39.5193481404836,45.0746242882259,60.4805895491014,0.165025437108745,-8.7574187995543,8.75739151864213,-8.75735059339426,-0.999998441959848,-0.99999688482271,0.999992211613764,1.83057535859514,0.808867175074194,3.2674302658513,9.76769595457235,164,-1.23304,110.10912,"Lowland Sandstone",193,"ON"
