"location","file","tree","x","y","phi","h.dist","dbh","h","v","n.pts","n.pts.red","n.pts.est","n.pts.red.est","partial.occlusion","locationID","altitude","on.off.trail","latitude","longitude","habitat","partition"
"BC 12.40","BC12.40.txt",1,0.216824167,-2.5762675,4.79271811,2.601000645,18.69458752,21.775,0.218997466,262,131,3543.274374,1778.325739,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",2,-2.847644167,0.269500833,3.048821333,2.861365358,12.74513979,28.413,0.12875975,76.33333333,40,2415.647158,1212.383537,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",3,-4.6004325,-1.102370833,3.376837428,4.730745794,30.43253936,25.501,0.666548751,2120.666667,1038,5768.024395,2894.900355,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",4,-2.987048333,4.566533333,2.148256516,5.459593538,9.412774883,20.053,0.051721034,1660.666667,844,1784.048137,895.3917722,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",5,-1.448329167,5.328185833,1.839223576,5.569581549,35.24450711,34.336,1.169413733,2505.666667,1251.333333,6680.059603,3352.639586,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",6,-3.496043333,4.444736667,2.237510338,5.67566395,9.222904912,24.047,0.058126206,1872.666667,937.6666667,1748.061175,877.3303597,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",7,-4.0875325,-3.736230833,3.829172791,5.771075295,55.89551233,44.735,3.75927012,223.3333333,117,10594.14316,5317.069883,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",8,-5.1778625,2.6958575,2.658917502,5.839358012,10.71258695,13.704,0.049041424,52,25,2030.407721,1019.036611,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",9,3.324004167,-4.902104167,5.307484425,5.923432531,6.03129666,19.703,0.020918662,75.66666667,40.66666667,1143.140434,573.7280953,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",10,-4.566414167,-4.199309167,3.885845229,6.207516723,11.88871289,43.955,0.167288606,387.3333333,193,2253.324482,1130.915786,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",11,5.240314167,-3.934370833,5.639179202,6.552874811,11.54004055,36.27,0.131849825,1476.333333,738.6666667,2187.23895,1097.748272,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",12,1.595875833,-6.8988625,4.939690339,7.081047426,22.35758402,38.014,0.516834101,1195,616,4237.539578,2126.768888,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",13,-6.045086667,3.77335,2.584870012,7.133798408,33.42479563,38.581,1.171096644,3250.333333,1645.666667,6335.161002,3179.539229,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",14,2.888184167,-7.0149775,5.103086659,7.590964616,24.03201603,34.52,0.546380092,948.3333333,474.6666667,4554.902668,2286.049512,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",15,7.310701667,-2.513526667,5.951848097,7.731702942,23.70825791,36.184,0.55528259,267,129,4493.539245,2255.251966,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",16,1.624928333,-7.764281667,4.918548917,7.93297151,22.53738818,33.678,0.469778305,434,208.6666667,4271.61872,2143.87279,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",17,1.194430833,-7.878360833,4.86601748,7.990825243,26.85833311,24.303,0.497556999,506.3333333,250.3333333,5090.58803,2554.903393,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",18,-7.576855,-3.817421667,3.608756005,8.486310046,17.28183717,18.428,0.162301311,200,103.3333333,3275.50906,1643.937628,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",19,8.730278333,-0.913653333,6.178911636,8.777962621,24.88561522,30.706,0.526529741,1562.333333,800.3333333,4716.689395,2367.248276,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",20,-7.08308875,-5.27849375,3.782034045,8.835633493,8.198131609,27.424,0.051608142,52,23.5,1553.831001,779.8486293,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",21,-4.951573333,-7.550493333,4.131760812,9.03913036,26.66780346,48.017,0.914537364,69.33333333,34,5054.476035,2536.779228,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",22,3.036265,-8.534078333,5.054204555,9.058115831,14.28078331,28.311,0.161135489,3712.333333,1860.666667,2706.705002,1358.461881,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",23,-3.281463333,8.483878333,1.93985092,9.096639947,54.8084396,30.356,2.527603311,1507.666667,734,10388.10508,5213.661909,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",24,3.6697525,-8.893544167,5.103175862,9.622973056,20.35534333,21.044,0.252089611,344.3333333,165.3333333,3858.045348,1936.305411,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",25,3.864275833,-9.197569167,5.1102463,9.977195472,19.85682707,21.184,0.241267779,195.3333333,96,3763.559181,1888.883969,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",26,1.872640833,-10.6030025,4.887418556,10.77176505,26.85035756,25.374,0.516575126,612.3333333,306,5089.076385,2554.144717,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",27,-10.93202667,-0.20981,3.160812644,10.93421284,10.33683242,23.09,0.070460352,31.33333333,15.66666667,1959.189172,983.2928991,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",28,-1.860261667,-11.10846333,4.546287108,11.26490017,21.6836526,26.329,0.348139164,82,44.33333333,4109.806142,2062.661051,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",29,-0.5859625,-11.2308275,4.66112401,11.26957023,26.93125352,41.138,0.806968602,319,162.3333333,5104.408983,2561.839959,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",30,-11.27951167,-0.570181667,3.191755988,11.30118292,21.25159894,43.573,0.530192573,79.66666667,39,4027.916949,2021.561874,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",31,2.801350833,-11.01967083,4.959723075,11.40931044,36.74108723,26.682,1.011456886,3310,1631.333333,6963.713574,3495.002018,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",32,-6.291494167,-9.7923175,4.142043666,11.64574655,12.55602483,36.352,0.15641314,93.33333333,48.33333333,2379.803297,1194.393945,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",33,-8.493485,-8.156798333,3.894237718,11.81192168,8.000284237,13.574,0.027149681,192.3333333,95.33333333,1516.332045,761.0283652,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",34,0.9399725,-11.86232917,4.791463786,11.89951668,26.8702897,33.73,0.668719346,2093.666667,1048,5092.854219,2556.040765,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",35,-0.990603333,-14.45649,4.64398041,14.49059784,14.8777025,26.609,0.16544509,233,114.6666667,2819.841943,1415.243918,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",36,-10.062725,-10.4678,3.946720825,14.52015106,23.32183399,49.345,0.717654447,1732.666667,871.6666667,4420.298477,2218.493327,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",37,-4.510828333,-14.41795167,4.409175165,15.10712415,21.54380508,28.234,0.365821559,2811,1398,4083.300173,2049.358032,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",38,12.16212,-8.977425,5.64616428,15.13004583,11.8313227,17.664,0.073422454,66.5,33.5,2242.447045,1125.456535,0,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",39,-4.965520833,-14.5678925,4.383898404,15.39331096,19.50595715,25.036,0.269408512,641.3333333,317.3333333,3697.057132,1855.50741,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",40,9.092888333,-13.80775,5.294552832,16.53332273,12.30810507,47.175,0.191593552,68.33333333,33,2332.813882,1170.810537,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",41,8.044199167,-14.82010417,5.205955539,16.93572113,31.14630441,49.528,1.284455835,123.6666667,56.66666667,5903.30769,2962.797374,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BC 12.40","BC12.40.txt",42,-6.873143333,-15.95620833,4.30687564,17.3864054,11.12805307,16.018,0.05992686,47.66666667,24.33333333,2109.152996,1058.557894,1,194,99,"ON",-1.21856,110.1099,"Lowland Sandstone","LS1"
"BM 14.35","BM14.35.txt",1,0.692154167,0.940330833,0.944681453,1.168859259,20.4442182,25.091,0.196021977,109,53.66666667,260.0448173,129.9702721,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",2,1.388481667,-1.644568333,5.412777037,2.153991219,11.06174838,17.923,0.04505329,68.33333333,36.33333333,140.7023888,70.32298488,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",3,-0.513869167,2.708720833,1.751409775,2.79437052,5.309311209,15.547,0.009477951,94.66666667,52,67.53297435,33.75294745,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",4,2.401670833,2.028129167,0.697381162,3.148667611,13.5011063,21.334,0.075754557,71.33333333,32.66666667,171.7303487,85.83074405,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",5,2.6118475,2.523955833,0.760572655,3.652115921,9.787100688,11.999,0.027939934,53,28.33333333,124.4892216,62.21965188,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",6,-3.431606667,2.769635,2.463129971,4.413953779,30.23491073,18.794,0.347526614,1104,545.6666667,384.5797262,192.2127585,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
