"location","ziqr","zMADmean","zMADmedian","CRR","zentropy","lad.min","lad.max","lad.mean","lad.cv","lad.sum","rumple","vn","vFRall","vFRcanopy","vzrumple","vzsd","vzcv","OpenGapSpace","ClosedGapSpace","Euphotic","Oligophotic"
"BC 12.40",2.358,1.9827197895645,1.123,0.0862668299679833,0.521691948321556,0.000123211109158489,0.71689486604102,0.0321937609716193,3.62906232674525,1.54530052663773,45.1117190769797,33463,13.5620491205317,33.0198733003098,3.92101174744918,0.294632493708253,83.3642251008597,34.3754559455297,27.51033476534,4.45246007943584,33.6617492096944
"BC 2.19 ",1.749,1.25048289840953,0.857,0.0721809696127524,0.462700236553873,0,1.20021490602254,0.0410942674043572,4.4952341253785,1.93143056800479,10.8275876656393,15425,3.06051587301587,36.3677087754043,3.84774426806139,0.316330986810452,125.909031762399,15.9198412698413,5.35496031746032,1.14027777777778,77.5849206349206
"BD 7.45 ",2.534,2.54376221092242,1.217,0.111749770604798,0.577481306435408,1.85983392608037e-06,0.869799826406914,0.0458319398247709,3.33562906073509,1.92494147264038,32.8383217596517,18445,8.01155366372758,29.8424152213306,3.64777063317603,0.271299889803366,66.2178154949411,15.9709855362029,18.8346436172523,2.85974894670547,62.3346218998393
"BD 7.45 W 50 ",2.3,1.63060726522592,1.093,0.0872539404715753,0.512634794330993,0,0.702540152268534,0.0352046186431406,3.45502675077605,1.37298012708248,16.6843747382105,12308,6.54124149659864,33.3649597440972,3.46986519493597,0.332251199718015,83.3408457011236,19.5243409863946,13.0638818027211,2.38254676870748,65.0292304421769
"BK 4.35 ",2.861,2.28971983254041,1.313,0.106449998652877,0.552681733474445,5.85162759407098e-05,0.747729979952709,0.0353653203024837,3.43535183616581,1.69753537451922,22.9324187954472,46118,6.93568422920633,31.1858859488372,3.84519209705775,0.356627073358346,93.5321258502257,19.606188847682,15.3041336184727,2.31074175336648,62.7789357804788
"BK 4.35 N 45 ",2.63,2.05045672959058,1.248,0.098743421988853,0.534380701177831,6.79216015310768e-06,0.733003109646839,0.0341286035750581,3.52344945528188,1.63817297160279,18.1365105936722,30688,4.66950699939136,26.4656674198389,3.8405833123628,0.311071274273795,76.8388795094388,15.9773280584297,12.9741326841144,1.84357881923311,69.2049604382228
"BM 10.40 E 40",2.328,1.96063514998365,1.131,0.125592251445102,0.590157040921949,5.36250546583124e-07,0.913299785451136,0.056892062360575,3.07093206333153,1.8205459955384,23.0020090835249,27274,16.153755034352,52.4036429312531,3.16055727671284,0.347465474298186,71.9703442119888,28.513385453684,14.6718787017294,5.63669746505567,51.1780383795309
"BM 14.35",2.267,1.85021752914412,1.12,0.0856282591502905,0.524448687182447,0,0.968176511098128,0.0396301684853221,3.8940984002562,1.82298775032481,17.3597197682841,28473,7.09501382970771,54.2590898696547,3.79923178175241,0.361973039312343,109.96108597043,23.077670628691,5.98116169544741,2.56983379432359,68.371333881538
"CK 4.42",2.794,2.16694519713877,1.195,0.0998775953428512,0.539347248463928,1.47975229899291e-06,0.706574844663271,0.0323588096794717,3.46243558670545,1.55322286461464,11.383830980305,31859,3.26425852591458,35.291055109388,3.84827261280614,0.360767683388565,98.4605397470948,12.1406359663728,5.98527656391682,1.23976044959247,80.6343270201179
"DA 12.40",2.891,2.02858157292715,1.408,0.101267945400374,0.555301958751783,7.18884501390931e-06,0.885451972861614,0.0443631201835067,3.43721384888324,2.12942976880832,15.1284154272622,32569,3.55413206455908,32.3776480997306,3.85024840272828,0.314505655320955,99.2864803834734,12.1460763665332,7.42298416578456,1.08045876665539,79.3504807010269
"DA 12.40 E 46",2.099,1.92063008755211,0.944,0.22652890092911,0.507578189210417,1.26729910262383e-05,0.7248999861754,0.0286161542181546,3.82264518101428,1.37357540247142,12.2407112196414,25632,2.14373531158263,20.681809012789,3.30037486976381,0.3246348922386,106.69307099357,8.26055684260707,8.22158287821891,0.769944884458086,82.7479153947159
"DP 8.00",2.069,1.5801561219685,1.013,0.134271647875003,0.506880735526349,1.94519062882505e-06,0.933444657608884,0.0385240929697472,3.89277821332362,1.73358418363862,8.15213528988472,13341,2.26321182346235,30.7992427740327,3.58069579392984,0.349954821399798,130.399644172607,11.6266760762174,5.08505917159763,0.86874355355301,82.419521198632
"DS 12",2.433,1.78595679589721,1.215,0.135183075841986,0.538911602927067,0,0.951574939078717,0.0452212886919752,3.59951988169033,1.94451541375493,16.5626153689255,24677,5.25746158156341,41.8594788980866,3.55587124445763,0.347872105386339,108.603424236996,17.2345543290915,7.30232587867593,1.759801947713,73.7033178445196
"GB 8.30",2.571,1.64218304165005,1.059,0.112293395267963,0.454193719193121,0,0.438181746119771,0.0217411123354637,3.48929687556476,0.934867830424941,10.5327846806525,16161,3.02776528776978,40.0500594766059,3.51108610420835,0.342860296249079,113.272674570452,11.8465227817746,4.53218675059952,1.11810551558753,82.5031849520384
"GP 24.31",3.207,2.0256790335548,1.459,0.106485710710977,0.56765849315335,9.64402824081549e-07,0.674731730664183,0.0433043728194736,2.95356747049239,1.77547928559842,13.2140762689084,25344,3.51956005499313,38.5782784077936,3.61615781467077,0.305114684522231,92.0128081721222,10.5493757724729,5.60360510491744,1.1384688025108,82.7085503200989
"GP 30.24",2.532,1.71564264169876,1.225,0.1124910292727,0.522179739288431,0,0.883792640588564,0.0416871859215095,3.62682244660592,1.87592336646793,15.9099967739325,22424,3.46980554296174,34.7481133683542,3.67547818502633,0.291530645778803,98.9727301188402,12.3815300629312,6.51578851269069,1.10899466314693,79.9936867612311
"GP 56.25",2.615,1.8218570903141,1.197,0.147448129846985,0.559716058863095,4.24922241901992e-07,0.681357694186225,0.0461940876352452,2.95175293654219,1.75537533013932,9.16510758674858,21514,3.4685007125952,39.0000725110579,3.31554370332379,0.36959553071075,104.144656529882,11.7633023144834,5.42507432271212,1.24559061566936,81.5660327471351
"GP 56.25 N 42",2.767,2.060425650048,1.3,0.133089833586627,0.568513186284135,0,0.933176676601346,0.048274471261346,3.355290614965,2.07580226423788,14.6460630760853,27936,4.56828885400314,37.2569416659998,3.50262227293084,0.363343382313676,93.5985707431272,14.598704866562,7.69328885400314,1.67026425954997,76.0377420198849
"GP 60.34",2.53,1.70990505624477,1.145,0.128799153972452,0.553172265947758,6.21490810344066e-07,0.662039467997357,0.0445400115775563,2.9436947918924,1.46982038205936,10.4873292040156,17405,3.85544036859826,44.5095130932897,3.13725590301645,0.364560168931249,91.6438103151677,9.94905192273613,4.80661881977671,1.34259259259259,83.9017366648946
"GP 66.01",2.601,1.80973758844418,1.144,0.154296278833526,0.556962704095917,0,0.60172325622186,0.0416159287305478,2.85737961993798,1.45655750556917,11.3260708243281,13889,5.95685366272088,42.156862745098,3.10842725061222,0.358171942735027,93.4331316670226,16.3381369016984,8.17335735117516,2.07925887802367,73.4092468691028
"HB 15.38",2.972,2.11267524936653,1.383,0.180203264233655,0.621616390438989,1.05828488105484e-06,0.685893966147196,0.0573837971103857,2.52041323474417,1.66413011620119,14.3849720101599,24941,7.90986790986791,41.3718172016256,2.81871926663497,0.347638074172031,70.044040286864,14.4252572824001,11.2091083519655,2.96084867513439,71.4047856905
"HB 2.25",2.395,1.88831699138845,1.118,0.174467884988496,0.547226976841766,6.85431822626062e-07,0.827552573121081,0.0428789557458338,3.37993389271814,1.71515822983335,15.5688677170664,24736,4.49212933032115,30.3155830626877,3.20944618469169,0.318593527289834,78.8546128492563,12.0854913811264,10.3257592817242,1.68473010177026,75.9040192353792
"HB 2.25 E 46",2.273,1.74347776533926,1.134,0.160958233053075,0.522669183857899,3.54562936908911e-07,0.954087200218437,0.042586153745143,3.78965587862001,1.87379076478629,14.8716208995417,19528,3.37596509243796,27.6686786250673,3.40391605195554,0.329612556695868,82.9601452355689,10.2725943136909,8.82543107174099,1.23677049730137,79.6652041172667
"KP 33.32",2.234,1.74953903925023,1.072,0.096572568408257,0.530746194534824,1.17617263612035e-07,0.733775779746776,0.0376581930045855,3.3885801666864,1.43101133417425,12.6182388008227,19632,5.40442330244619,52.9150157677691,3.47854535023705,0.362270787495359,104.921402858183,17.0614274152255,4.80897874238145,1.94517395349862,76.1844198888944
"KP 5.44",2.457,1.78626620584972,1.094,0.147914548308492,0.542209807058528,4.60344663854595e-07,0.482595719813714,0.0362253658757371,2.76179553414539,1.23166243977506,9.52295969216094,17621,2.8851884599011,33.2314945780292,3.04816266488986,0.340246138788754,81.1354685360154,7.82493368700265,5.7969021187412,1.11618692078462,85.2619772734715
