cid,id,obs_time,trail,trailmark,compass,distance,animal,n_indiv,observed,activity,continued,comment,geom
1,2,05:34:00,BM,1.05,e,0,"MB ",1,1,TV,0,NULL,NULL
1,6,06:58:00,DS,9.00,n,10,PKX,2,1,F,0,NULL,NULL
1,7,07:28:00,DS,3.35,n,9,GN,1,1,F,0,"Ketamu GN jantan.  Only saw for couple minutes then the GN ran to north quickly",NULL
1,11,08:45:00,GB,0.00,e,15,BL,5,1,T,0,"Flew to east",NULL
1,14,10:12:00,ST,3.15,e,8,RA,1,1,F,0,NULL,NULL
2,19,05:32:00,MB,0.45,se,7,BP,1,1,T,0,NULL,NULL
2,30,06:38:00,MT,2.05,n,15,AHX,2,1,T,0,NULL,NULL
2,48,10:12:00,BK,2.00,w,40,GN,1,1,I,0,"Small male.  Left to south.",NULL
3,57,05:45:00,BC,3.12,s,10,KL,4,1,F,0,"Couldn't get sex/sizes because hidden",NULL
3,76,08:02:00,AY,2.20,w,1,KL,4,1,F,0,"Only saw 1 male for sure, other three unkown sex.  Ran to east before got good look.",NULL
3,89,10:05:00,PB,6.40,n,30,GN,1,1,TV,0,NULL,NULL
3,93,10:40:00,CK,0.00,n,NULL,SQX,1,1,TV,0,"Jumping from tree to tree.  Small squirrel, short tail, light yellow color.",NULL
4,108,06:37:00,RB,22.15,s,20,GN,1,1,T,0,"Male. Moving fast.",NULL
4,110,06:51:00,RB,25.14,s,25,GN,3,1,T,0,"1 small fem, 1 big male, 1 small sex unk.  Moving fast, could not get good descriptions.",NULL
4,116,08:16:00,BD,11.20,w,15,BL,2,1,I,0,NULL,NULL
4,121,09:17:00,KP,17.22,w,5,BP,1,1,T,0,NULL,NULL
4,124,10:33:00,KP,32.05,e,NULL,CP,1,1,IV,0,"Resting and calling squirrel",NULL
4,126,11:00:00,KP,37.00,s,30,KL,3,1,T,0,"1 big male, 1 big female, 1 big unk sex.  Tried to follow, but they continued away from the trail and couldn't keep up.",NULL
5,130,05:52:00,NB,9.00,s,15,BL,3,1,T,0,"Flying west",NULL
5,133,07:10:00,UB,51.00,n,15,"MB ",1,1,T,0,"Flying north",NULL
5,138,08:36:00,UB,66.10,s,20,GN,2,1,T,0,"1 went south, 1 went east very fast.",NULL
5,139,08:36:00,UB,66.10,s,2,KL,2,1,T,0,"Went south. Were in same tree as GN above.",NULL
5,144,11:24:00,UB,80.00,n,15,GN,1,1,T,0,"Went north fast.",NULL
6,151,06:24:00,UB,9.01,s,2,SQX,1,1,T,0,"Small squirrel, short tail, light brown color.",NULL
6,157,07:29:00,UB,15.30,n,2,GN,4,1,T,0,"2 males, 1 fem, 1 adolescent sex unk.  Adolescent traveling alone. Travelled to north.",NULL
6,159,09:04:00,UB,20.40,s,7,KL,1,1,I,0,"In same tree as GN below. Followed until 9:40.",NULL
6,160,09:04:00,UB,20.40,s,7,GN,1,1,I,0,"In same tree as KL above.  Travelled north.",NULL
6,174,12:40:00,SI,12.35,w,20,KL,1,1,I,0,NULL,NULL
7,181,05:38:00,SK,2.40,n,1,FK,11,1,F,0,"Couldn't could m/f because they never stopped moving.",NULL
7,182,06:03:00,SK,6.00,e,7,GN,4,1,T,0,"Traveled west.",NULL
7,188,06:38:00,MB,12.14,s,5,GN,4,1,TV,0,"3 big unk, 1 infant unk (carried)",NULL
7,189,06:40:00,MB,12.14,s,20,FK,6,1,F,0,"4 male, 2 female.  In same tree as GN.",NULL
7,197,08:25:00,TR,7.40,s,NULL,BW,1,1,T,0,"JH-not sure this is the same singkat.  AJM ""BW"" may be different then ""new BW""",NULL
7,203,09:38:00,RS,24.45,w,3,PKX,1,1,T,0,NULL,NULL
7,206,10:40:00,RS,41.35,e,2,OH,3,1,F,0,"2 female, 1 male.  On ground eating termintes, but climbed trees and were mad when arrived.  Left area to west.",NULL
7,208,10:50:00,RS,42.25,w,10,KL,3,1,FV,0,"Kelasi ran away as soon as seen, but found leftover ficus on ground.",NULL
9,215,06:01:00,JB,5.15,e,5,"MB ",2,1,TV,0,NULL,NULL
9,217,06:39:00,JB,14.14,e,0,ULX,1,1,T,0,"Snake entered hole in ground",NULL
9,219,06:51:00,JB,15.20,w,15,BP,1,1,T,0,NULL,NULL
9,226,08:25:00,TL,25.25,n,10,ML,1,1,I,0,"bird with green feathers on back, pink head, red chest....pretty sure this is bee-eater (JH)",NULL
9,227,08:40:00,TL,28.10,n,7,KL,4,1,T,0,"1 male, 3 big males? Not certain of ids or total count.  Moving fast to south.",NULL
9,228,09:29:00,TL,36.00,e,5,BU,2,1,I,0,NULL,NULL
