placementID,locationID,location,camname,date_placed,date_removed,latitude,longitude,habitat,altitude,on/off trail,notes
17,9,BM 14.35,kkl003,6/18/2015,2/4/2016,-1.20752,110.10863,Alluvial Bench,53,ON,
363,9,BM 14.35,kkl074,5/3/2018,7/10/2018,-1.20752,110.10863,Alluvial Bench,53,ON,
18,10,DS 11.40,kkl003,2/4/2016,3/6/2016,-1.207039,110.108244,Alluvial Bench,45,ON,
19,11,DS 12,kkl003,3/6/2016,3/29/2016,-1.20697,110.10837,Alluvial Bench,45,ON,
20,11,DS 12,kkl017,4/16/2016,5/4/2016,-1.20697,110.10837,Alluvial Bench,45,ON,
21,11,DS 12,kkl035,5/5/2016,10/7/2016,-1.20697,110.10837,Alluvial Bench,45,ON,
385,11,DS 12,kkl074,10/15/2018,3/4/2019,-1.20697,110.10837,Alluvial Bench,45,ON,
438,11,DS 12,kkl016,3/5/2019,5/21/2019,-1.20697,110.10837,Alluvial Bench,45,ON,
22,12,GP 71.22,kkl008,6/10/2015,2/2/2016,-1.21033,110.128,Upland Granite,657,ON,
23,13,GP 66.01,kkl008,2/2/2016,10/26/2016,-1.21087,110.12574,Upland Granite,552,ON,
174,127,DT 8.46,kkl001,6/23/2015,1/30/2016,-1.2281,110.10597,Alluvial Bench,59,ON,
178,128,MT 2,kkl001,6/18/2015,6/23/2015,-1.21856,110.10485,Alluvial Bench,46,ON,
175,129,DA 3.40,kkl001,1/30/2016,7/31/2016,-1.22735,110.10488,Kerangas,58,ON,
212,129,DA 3.40,kkl039,7/31/2016,10/4/2016,-1.22735,110.10488,Kerangas,58,ON,
374,129,DA 3.40,kkl050,5/2/2018,7/14/2018,-1.22735,110.10488,Kerangas,58,ON,
183,130,BC 2.19,kkl002,6/18/2015,1/31/2016,-1.21712,110.10572,Lowland Sandstone,46,ON,
440,130,BC 2.19,kkl052,3/25/2019,8/6/2019,-1.21712,110.10572,Lowland Sandstone,46,ON,
173,131,BC 8.30,kkl002,1/30/2016,10/7/2016,-1.21815,110.1082,Lowland Sandstone,68,ON,
375,131,BC 8.30,kkl052,6/3/2018,10/15/2018,-1.21815,110.1082,Lowland Sandstone,68,ON,
177,132,ST 5,kkl004,6/20/2015,1/31/2016,-1.21596,110.10131,Freshwater Swamp,48,ON,
442,132,ST 5,kkl062,3/25/2019,7/8/2019,-1.21596,110.10131,Freshwater Swamp,48,ON,
176,133,RB 9,kkl004,1/31/2016,10/7/2016,-1.21382,110.10215,Freshwater Swamp,43,ON,
330,133,RB 9,kkl045,12/23/2017,3/23/2018,-1.21382,110.10215,Freshwater Swamp,43,ON,
180,134,SP 31.22,kkl005,6/20/2015,1/30/2016,-1.22784,110.10319,Kerangas,57,ON,
431,134,SP 31.22,kkl067,3/10/2019,8/6/2019,-1.22784,110.10319,Kerangas,57,ON,
179,135,SK 10.35,kkl005,1/30/2016,10/4/2016,-1.22219,110.10448,Alluvial Bench,55,ON,
332,135,SK 10.35,kkl050,12/24/2017,5/2/2018,-1.22219,110.10448,Alluvial Bench,55,ON,
181,136,MB 17.16,kkl006,6/20/2015,2/5/2016,-1.22302,110.10008,Freshwater Swamp,45,ON,
353,136,MB 17.16,kkl014,3/30/2018,4/2/2018,-1.22302,110.10008,Freshwater Swamp,45,ON,
182,137,SZ 15.25,kkl006,2/5/2016,10/8/2016,-1.22079,110.09916,Freshwater Swamp,49,ON,
184,138,GP 60.34,kkl007,6/19/2015,2/2/2016,-1.21043,110.12347,Upland Granite,439,ON,
366,138,GP 60.34,kkl008,5/1/2018,9/27/2018,-1.21043,110.12347,Upland Granite,439,ON,
185,139,MR 9.40,kkl007,2/2/2016,10/19/2016,-1.21222,110.12592,Upland Granite,489,ON,
386,139,MR 9.40,kkl007,5/4/2018,10/20/2018,-1.21222,110.12592,Upland Granite,489,ON,
186,140,GP 79.35,kkl009,6/19/2015,2/2/2016,-1.21,110.13112,Upland Granite,788,ON,
328,140,GP 79.35,kkl040,2/15/2018,4/18/2018,-1.21,110.13112,Upland Granite,788,ON,
187,141,PP 3.35,kkl009,2/2/2016,7/31/2016,-1.21142,110.13108,Upland Granite,742,ON,
210,141,PP 3.35,kkl040,7/31/2016,10/26/2016,-1.21142,110.13108,Upland Granite,742,ON,
420,141,PP 3.35,kkl056,7/15/2018,8/5/2018,-1.21142,110.13108,Upland Granite,742,ON,
188,142,GP 90,kkl010,6/19/2015,2/2/2016,-1.20939,110.13502,Montane,1003,ON,
356,142,GP 90,kkl076,5/8/2018,7/15/2018,-1.20939,110.13502,Montane,1003,ON,
446,142,GP 90,kkl076,4/9/2019,6/23/2019,-1.20939,110.13502,Montane,1003,ON,
189,143,GP 94.30,kkl010,2/2/2016,7/31/2016,-1.2096,110.13661,Montane,1033,ON,
211,143,GP 94.30,kkl042,7/31/2016,10/26/2016,-1.2096,110.13661,Montane,1033,ON,
347,143,GP 94.30,kkl076,1/9/2018,5/8/2018,-1.2096,110.13661,Montane,1033,ON,
190,144,KP 33.32,kkl011,6/20/2015,3/8/2016,-1.21188,110.09911,Peat Swamp,62,ON,
321,144,KP 33.32,kkl029,12/23/2017,9/16/2018,-1.21188,110.09911,Peat Swamp,62,ON,
191,145,KP 7.06,kkl011,3/8/2016,4/12/2016,-1.21024,110.09765,Peat Swamp,53,ON,
192,146,KP 5.44,kkl011,4/12/2016,10/25/2016,-1.2108,110.09754,Peat Swamp,34,ON,
398,146,KP 5.44,kkl029,10/11/2018,10/21/2018,-1.2108,110.09754,Peat Swamp,34,ON,
193,147,SK 2.13,kkl012,6/20/2015,1/31/2016,-1.21929,110.10307,Alluvial Bench,57,ON,
346,147,SK 2.13,kkl075,12/25/2017,4/14/2018,-1.21929,110.10307,Alluvial Bench,57,ON,
194,148,MT 1.40,kkl012,1/31/2016,8/29/2016,-1.21851,110.10475,Alluvial Bench,41,ON,
408,148,MT 1.40,kkl045,9/30/2018,1/10/2019,-1.21851,110.10475,Alluvial Bench,41,ON,
195,149,TL 17.38,kkl013,6/21/2015,2/23/2016,-1.20737,110.11285,Lowland Sandstone,80,ON,
320,149,TL 17.38,kkl026,12/29/2017,3/25/2018,-1.20737,110.11285,Lowland Sandstone,80,ON,
354,149,TL 17.38,kkl016,3/25/2018,5/21/2018,-1.20737,110.11285,Lowland Sandstone,80,ON,
196,150,GP 30.24,kkl014,6/21/2015,2/23/2016,-1.21605,110.11442,Lowland Granite,226,ON,
197,151,TL 35.42,kkl014,2/23/2016,12/7/2016,-1.2081,110.11807,Lowland Granite,273,ON,
319,151,TL 35.42,kkl022,12/29/2017,3/24/2018,-1.2081,110.11807,Lowland Granite,273,ON,
430,151,TL 35.42,kkl052,2/11/2019,3/2/2019,-1.2081,110.11807,Lowland Granite,273,ON,
198,152,ML 22.48,kkl015,6/21/2015,2/2/2016,-1.21272,110.11988,Lowland Granite,355,ON,
199,153,ML 5.06,kkl015,2/2/2016,10/20/2016,-1.21809,110.11567,Lowland Granite,193,ON,
200,154,UB 17.02,kkl016,6/22/2015,10/10/2016,-1.22393,110.11439,Lowland Granite,209,ON,
358,154,UB 17.02,kkl026,4/30/2018,10/14/2018,-1.22393,110.11439,Lowland Granite,209,ON,
201,155,HB 15.38,kkl017,6/22/2015,12/1/2015,-1.22905,110.11547,Lowland Granite,386,ON,
220,155,HB 15.38,kkl024,12/26/2015,2/22/2016,-1.22905,110.11547,Lowland Granite,386,ON,
429,155,HB 15.38,kkl064,3/14/2019,7/9/2019,-1.22905,110.11547,Lowland Granite,386,ON,
203,156,HB 2.25,kkl024,2/22/2016,10/11/2016,-1.23304,110.11118,Lowland Granite,282,ON,
406,156,HB 2.25,kkl024,12/22/2018,3/10/2019,-1.23304,110.11118,Lowland Granite,282,ON,
204,157,AT 7.21,kkl018,6/22/2015,1/12/2016,-1.22359,110.11033,Lowland Sandstone,95,ON,
205,157,AT 7.21,kkl028,1/12/2016,1/30/2016,-1.22359,110.11033,Lowland Sandstone,95,ON,
