grid_size,grid_id,habitat,partition,Shape_Length,Shape_Area
75,1,Freshwater Swamp,FS1,0.031249999,6.10352E-05
75,2,Freshwater Swamp,FS1,0.029289222,2.71987E-05
75,2,Heath,Heath,0.009725746,6.71157E-06
75,2,Lowland Sandstone,LS2,0.017030201,8.6265E-06
75,2,Alluvial Bench,AB2,0.027233871,1.84625E-05
75,3,Freshwater Swamp,FS1,0.003166999,3.88111E-07
75,3,Lowland Granite,LG2,0.023952225,2.90339E-05
75,3,Lowland Sandstone,LS2,0.024843071,3.16131E-05
75,4,Upland Granite,UG2,0.024832962,3.35932E-05
75,4,Lowland Granite,LG2,0.023947101,2.7442E-05
75,5,Upland Granite,UG2,0.031249999,6.10352E-05
75,6,Upland Granite,UG2,0.024874561,2.98922E-05
75,6,Montane,MO2,0.025473949,3.11019E-05
75,7,Freshwater Swamp,FS1,0.031833208,6.07126E-05
75,7,Peat Swamp,PS1,0.00232898,3.2255E-07
75,8,Freshwater Swamp,FS1,0.023860401,9.8942E-06
75,8,Peat Swamp,PS1,0.00022735,2.07158E-09
75,8,Lowland Sandstone,LS2,0.005818043,1.53949E-06
75,8,Alluvial Bench,AB2,0.026624817,4.47729E-05
75,8,Lowland Sandstone,LS1,0.00933876,4.82654E-06
75,9,Freshwater Swamp,FS1,0.008058694,3.91938E-06
75,9,Lowland Granite,LG2,0.016475292,1.41744E-05
75,9,Lowland Sandstone,LS2,0.022633409,2.38283E-05
75,9,Lowland Granite,LG1,0.011837777,7.02185E-06
75,9,Alluvial Bench,AB2,0.005298571,1.18005E-06
75,9,Lowland Sandstone,LS1,0.014864281,1.09111E-05
75,10,Upland Granite,UG2,0.009738297,3.54111E-06
75,10,Lowland Granite,LG2,0.025905203,3.52443E-05
75,10,Upland Granite,UG1,0.004295095,7.30086E-07
75,10,Lowland Granite,LG1,0.021442615,2.15197E-05
75,11,Upland Granite,UG2,0.027765,4.52334E-05
75,11,Lowland Granite,LG2,0.006115501,1.32978E-06
75,11,Upland Granite,UG1,0.019028976,1.43248E-05
75,11,Lowland Granite,LG1,0.002076492,1.47202E-07
75,12,Montane,MO1,0.009443834,2.62353E-06
75,12,Upland Granite,UG2,0.021515004,2.42276E-05
75,12,Montane,MO2,0.022119744,2.94447E-05
75,12,Upland Granite,UG1,0.010232754,4.73928E-06
75,13,Freshwater Swamp,FS1,0.021961053,2.88676E-05
75,13,Peat Swamp,PS1,0.031190182,3.21676E-05
75,14,Freshwater Swamp,FS1,0.037573423,4.24983E-05
