placementID,locationID,location,latitude,longitude,habitat,altitude,650ha_gridID
17,9,BM 14.35,-1.20752,110.10863,Alluvial Bench,53,4
18,10,DS 11.40,-1.207039,110.108244,Alluvial Bench,45,3
19,11,DS 12,-1.20697,110.10837,Alluvial Bench,45,3
22,12,GP 71.22,-1.21033,110.128,Upland Granite,657,4
23,13,GP 66.01,-1.21087,110.12574,Upland Granite,552,4
174,127,DT 8.46,-1.2281,110.10597,Alluvial Bench,59,1
178,128,MT 2,-1.21856,110.10485,Alluvial Bench,46,3
175,129,DA 3.40,-1.22735,110.10488,Kerangas,58,1
183,130,BC 2.19,-1.21712,110.10572,Lowland Sandstone,46,3
173,131,BC 8.30,-1.21815,110.1082,Lowland Sandstone,68,3
177,132,ST 5,-1.21596,110.10131,Freshwater Swamp,48,3
176,133,RB 9,-1.21382,110.10215,Freshwater Swamp,43,3
180,134,SP 31.22,-1.22784,110.10319,Kerangas,57,1
179,135,SK 10.35,-1.22219,110.10448,Alluvial Bench,55,1
181,136,MB 17.16,-1.22302,110.10008,Freshwater Swamp,45,1
182,137,SZ 15.25,-1.22079,110.09916,Freshwater Swamp,49,1
184,138,GP 60.34,-1.21043,110.12347,Upland Granite,439,4
185,139,MR 9.40,-1.21222,110.12592,Upland Granite,489,4
186,140,GP 79.35,-1.21,110.13112,Upland Granite,788,4
187,141,PP 3.35,-1.21142,110.13108,Upland Granite,742,4
188,142,GP 90,-1.20939,110.13502,Montane,1003,4
189,143,GP 94.30,-1.2096,110.13661,Montane,1033,4
190,144,KP 33.32,-1.21188,110.09911,Peat Swamp,62,3
191,145,KP 7.06,-1.21024,110.09765,Peat Swamp,53,3
192,146,KP 5.44,-1.2108,110.09754,Peat Swamp,34,3
193,147,SK 2.13,-1.21929,110.10307,Alluvial Bench,57,1
194,148,MT 1.40,-1.21851,110.10475,Alluvial Bench,41,3
195,149,TL 17.38,-1.20737,110.11285,Lowland Sandstone,80,4
196,150,GP 30.24,-1.21605,110.11442,Lowland Granite,226,4
197,151,TL 35.42,-1.2081,110.11807,Lowland Granite,273,4
198,152,ML 22.48,-1.21272,110.11988,Lowland Granite,355,4
199,153,ML 5.06,-1.21809,110.11567,Lowland Granite,193,4
200,154,UB 17.02,-1.22393,110.11439,Lowland Granite,209,2
201,155,HB 15.38,-1.22905,110.11547,Lowland Granite,386,2
203,156,HB 2.25,-1.23304,110.11118,Lowland Granite,282,2
204,157,AT 7.21,-1.22359,110.11033,Lowland Sandstone,95,2
206,158,AT 11.33,-1.22547,110.11023,Lowland Sandstone,85,2
143,159,UB 22.30,-1.226,110.11576,Lowland Granite,276,2
144,160,DG 2.15,-1.21263,110.10065,Freshwater Swamp,43,3
145,161,GB 8.30,-1.21013,110.10319,Freshwater Swamp,33,3
146,162,BD 7.45,-1.20966,110.09449,Peat Swamp,44,3
