Species,Terrestriality,ActivityCycle,AdultBodyMass_g,TrophicLevel,DietBreadth,LitterSize,LitterSize_ref,notes,max.ind
Aonyx cinerea,1,1,3527.59,3,1,1.47,Myhrvold et al.,"Phillips & Phillips: litters of 1-2 are normal. Group size of up to 12, avg 5. Diet incudes crabs, shrimps, and mollusks. Value from Myhrvold et al. (2015) dataabse: https://esajournals.onlinelibrary.wiley.com/doi/10.1890/15-0846R.1 Diet breadth value inferred from similar species (Lutra spp.) and description from Phillips. ",2
Arctictis binturong,1,1,12999.99,1,3,2.5,Pantheria,,2
Arctogalidia trivirgata,1,1,2323.79,2,6,2.79,Pantheria,,1
Catopuma badia,1,2,3429.52,3,1,1.3,Myhrvold et al. (inferred from C. temminckii),"No litter size data from Phillips or Payne, or IUCN. No litter size data in Myhrvold et al. database. C. temminckii (range mostly in mainland S. Asia) is in the database and listed as 1.28. Rounding up to 1.3 to infer the litter size for this species. Diet breadth inferred from other felids and description in Phillips.",1
Cynogale bennettii,1,2,4246.57,2,6,2.3,Pantheria,,3
Echinosorex gymnurus,1,2,756.53,2,3,1.9,Pantheria,,2
Felis planiceps,1,1,3533.76,2,2,1.33,Myhrvold et al.,"Panye et al. : nocturnal, probably feeds mainly on fish. Phillips: nocturnal, eats fish and frogs. Sunquist and Sunquist (2002) Wild Cats of the World: only three births in captivity, one was twins other 2 were singletons. https://archive.org/details/wildcatsofworld00sunq/page/232/mode/2up",2
Helarctos malayanus,1,1,57075.78,1,3,1.1,Pantheria,,2
Hemigalus derbyanus,1,1,1262.7,2,6,1.73,Pantheria,,2
Hemigalus hosei,1,1,2500,2,6,1.5,ADW,"Phillips: nocturnal and crepuscular, probably eats fish mostly. Payne: probably nocturnal. ADW: litter size inferred from closely related palm civets: 1-2. Other hemigalus species in Myhrvold et al. database has value of 2 for litter size",1
Herpestes sp.,1,1,1396.16,3,1,3.49,Pantheria,"via Phillips & Phillips: two species, usually solitary. One more common (Urva brachyurus) than the other (U. semitorquata), both same size: 1-1.5 kg. U.b mostly diurnal and crepuscular while U.s active 24 hours. Payne et al. says U.b (Herpestes) is diurnal and diet consists of arthropods and small verts. All data points from H.brachyurus pantheria data. ",2
Hystrix brachyura,1,1,8000,2,6,1.41,Pantheria,,3
Lariscus insignis,1,3,174.41,1,2,2,Myhrvold et al.,Phillips: seed predator and scatter hoarder. Litter size value from Myhrvold et al. database,3
Macaca nemestrina,1,3,7820.78,1,2,1.01,Pantheria,,17
Martes flavigula,1,3,2504.64,3,1,3.53,Pantheria,,3
Muntiacus atherodes,1,2,18939.1,1,2,1.17,Myhrvold et al.,"litter size value from Myhrvold et al. database, inferred from the closely related M.muntjak",2
Muntiacus muntjak,1,2,17611.59,1,3,1,Pantheria,,3
Muntiacus spp.,1,2,17611.59,1,3,1,,,2
Mustela nudipes,1,3,569.42,3,1,4,Pantheria,Diet breadth value inferred from description in Phillips and based on other Mustela species in the pantheria database,1
Neofelis nebulosa,1,2,14945.05,3,1,2.25,Pantheria,,3
Paguma larvata,1,1,4300,2,6,2.16,Pantheria,,4
Paradoxurus hermaphroditus,1,1,3200,2,6,3.29,Pantheria,,1
Pardofelis marmorata,1,1,2826.68,3,1,2,Pantheria,,1
Prionailurus bengalensis,1,1,2780.97,3,1,2.5,Pantheria,,1
Prionodon linsang,1,1,684.83,2,6,2.3,Pantheria,,1
Rheithrosciurus macrotis,1,3,1353.27,1,2,2,Wilson et al. (2016; used median of the reported range),no litter size data from Myhrvold et al. database. Litter size 1-4 according to Wilson et al. (2016) https://treatment.plazi.org/id/064D0660FFEAED17FFC4F734F85FF425. Dietary breadth based on Phillips guide (fruit and seeds),2
Rhinosciurus laticaudatus,1,3,230.3,2,3,1.39,Pantheria,,1
Soricidae,1,1,43.76,3,1,3.1,Pantheria,"Based on range maps in Phillips & Phillips, potentially only two species: Crocidura foetida and Suncus murinus. Activity cycle (nocturnal), trophic level (carnivore/insectivore), and diet breadth (insects/inverts) from Phillips. Body mass and litter size from S.murinus pantheria data. ",1
Sus barbatus,1,2,135805.95,2,6,6.59,Pantheria,,13
Tragulus javanicus,1,1,1889.93,1,3,0.98,Pantheria,,2
Tragulus napu,1,1,5273.67,1,3,0.96,Pantheria,,2
Tragulus spp.,1,1,NA,1,NA,NA,,"only two species but have very different body masses, so using some average between the two for the spp obs doesn't make sense",1
Tupaia dorsalis,1,3,168.05,2,4,2,Myhrvold et al. (inferred from other Tupai species),"no itter size data from Myhrvold et al. database, inferring from other Tupai spp.",2
Tupaia montana,1,3,168.05,2,4,2.01,Pantheria,,4
Tupaia splendidula,1,3,168.05,2,4,2,Myhrvold et al. (inferred from other Tupai species),"no itter size data from Myhrvold et al. database, inferring from other Tupai spp.",1
Tupaia tana,1,3,182.33,2,4,2.51,Pantheria,,1
Unid civet,1,NA,NA,NA,NA,NA,,,2
Unid Rat,1,1,146.5,2,NA,NA,,would be good to make a note of which species (and how many) these could be and how much variation they show in these traits,15
Viverra tangalunga,1,1,7349.99,2,6,1.92,Pantheria,,2
