Orig_singkat,New_Singkat,singkat_prior_2016,Order_latin,Family,Latin_name,Spp_common_name,Indonesia_name,Mark_comment_3_06,class,notes
NULL,KD,NULL,ANURA,NULL,NULL,Unid Frog (Camera Trap),Katak/kodok tidak tahu,,Amphibi,Added 2016
NULL,EA,NULL,FALCO,ACCIP,Accipiter trivirgata,Crested goshawk,Elang Alap Jambul,,Bird,Added 2019 (Camera Trap)
NULL,EL,NULL,NULL,ACCIP,NULL,Eagles,Elang,NULL,Bird,NULL
NULL,EG,NULL,NULL,ACCIP,Spilornis sp.,Crested Serpent-Eagle,Elang ular bido,,Bird,Added 2017 (Camera Trap)
NULL,KR,NULL,,ACROC,Acrocephalus sp.,Reed-Warbler,Kerakbasi,NULL,Bird,Added 2016 (Camera Trap)
NULL,CC,NULL,CORAC,ALCED,Halcyon pileata,Black-capped Kingfisher,Cekakak Cina,NULL,Bird,NULL
NULL,RUX,RU,CORAC,ALCED,NULL,Kingfishers,Raja udang,NULL,Bird,NULL
NULL,IX,NULL,PELEC,ARDEI,Ixobrychus spp,Bitterns/heron,Bambangan,,Bird,Added 2018 (Camera trap)
wc,WC,NULL,BUCER,BUCER,Aceros comatus,white creste3d hornbill,NULL,white crowned hornbill,Bird,NULL
wk,WK,NULL,BUCER,BUCER,Aceros corrugatus,Wrinkled Hornbill,NULL,wrinkled hornbill,Bird,NULL
wd,WD,NULL,BUCER,BUCER,Aceros undulatus,wreathed hornbill,NULL,wreathed hornbill,Bird,NULL
bc,BC,NULL,BUCER,BUCER,Anorhinus galeritus,Bushy-crested Hornbill,burung mati sekawan,bushy crested,Bird,NULL
bl,BL,NULL,BUCER,BUCER,Anthracoceros malayanus,Black Hornbill,NULL,black hornbill,Bird,NULL
NULL,EJ,NULL,BUCER,BUCER,Berenicornis comatus,White-crowned Hornbill,Enggang Jambul,NULL,Bird,Added 2020 (Camera Trap)
rh,RH,NULL,BUCER,BUCER,Buceros rhinoceros,Rhinoceros Hornbill,Enggang gading,rhino hornbill,Bird,NULL
"hb, ho",HB,NULL,BUCER,BUCER,,Unid hornbill,Enggang tak tahu nama,unid hornbill,Bird,NULL
he,HE,NULL,BUCER,BUCER,,Helmeted Hornbill,Enggang Raja,helmeted,Bird,NULL
NULL,SS,NULL,CICON,CICON,Ciconia stormi,Storm's Stork,Bango Storm,NULL,Bird,Added 2017 (Camera Trap)
ed,ED,NULL,COLUM,COLUM,Chalcophaps indica,Emerald Dove,Tekukur,migratory bird---ck G&sp match with parakeet or  pigeon,Bird,NULL
pi,PI,NULL,COLUM,COLUM,Ducula spp.,Imperial Pigeon,Peregam,unid pigeon? Pigeon imperial?,Bird,NULL
NULL,SN,NULL,NULL,COLUM,NULL,Parots,Selindit,NULL,Bird,NULL
jf,JF,NULL,COLUM,COLUM,Ptilinopus jambu,Jambu Fruit Dove,Punai hijau kepala merah,jambu fruit pigeon,Bird,NULL
tc,TC,NULL,COLUM,COLUM,Treron capellei,Little Green Pigeon,Punai hijau,Treron fruit pigeon,Bird,NULL
"pt, tr,tx",PT,NULL,COLUM,COLUM,Treron spp.,Unid green pigeon,Punai hujau belum tahu nama,Ptillinopus jambu?,Bird,NULL
,CX,NULL,COLUM,COLUM,,Unid Pigeon,Peregam belum ada nama,,Bird,NULL
gr,GR,NULL,PASSE,CORVI,Aegithina viridissima,Green Iora,NULL,,Bird,NULL
,MG,NULL,PASSE,CORVI,Cissa spp.,Unid magpie,Gagak ekor panjang,,Bird,NULL
,CE,NULL,PASSE,CORVI,Corvus enca,Slender-billed Crow,Gagak,,Bird,NULL
NULL,GM,NULL,PASSE,CORVI,Pityriasis gymnocephala,Bornean bristlehead,Gagak kepala merah,NULL,Bird,NULL
NULL,TO,NULL,PASSE,CORVI,Platylophus galericulatus,Crested Jay,Tangkar Ongklet,NULL,Bird,Added 2016
NULL,BGC,NULL,CUCUL,CUCUL,Carpococcyx radiceus,Bornean Ground-Cuckoo,Bubut Dundun,NULL,Bird,NULL
NULL,LC,NULL,CUCUL,CUCUL,Centropus rectunguis,Short-toed coucal,Bubut hutan,NULL,Bird,Added 2020 (Camera Trap)
NULL,PH,NULL,CUCUL,CUCUL,Phaenicophaeus,Malkohas,Kelakuk,NULL,Bird,NULL
NULL,DGG,NULL,PASSE,DICRU,Dicrurus annectans,Crow-billed Drongo,Srigunting gagak,NULL,Bird,NULL
NULL,PLT,NULL,PASSE,DICRU,Dicrurus remifer,Lesser Racket-Tailed Drongo,Srigunting bukit,NULL,Bird,Added 2016
NULL,DGX,DG,NULL,DICRU,Dicrurus sp,Drongos,Pelampung tiang,NULL,Bird,NULL
